Overall Accuracy: 52.92199951702487
Class 0 Accuracy: 72.33710495513071
Class 1 Accuracy: 0.0
Class 2 Accuracy: 91.19246861924687
Class 3 Accuracy: 6.888168557536467
Class 4 Accuracy: 14.379391100702577
Predict	Actual
2	2
0	4
0	3
0	1
2	1
0	0
4	0
2	2
0	3
2	1
2	4
0	4
2	2
2	0
0	0
0	0
0	4
2	4
2	2
2	4
0	0
0	0
2	2
0	4
0	4
2	2
2	4
0	0
2	2
0	0
2	4
2	0
4	4
0	4
0	0
4	0
0	1
0	3
2	4
2	2
2	2
0	4
0	4
0	3
0	0
4	0
2	2
2	0
0	4
0	4
0	0
0	0
2	4
2	2
0	0
2	0
0	4
2	2
2	4
0	0
2	1
4	4
0	0
2	2
0	2
4	4
2	2
0	0
0	0
2	2
2	2
2	2
0	2
2	4
0	0
0	0
0	1
0	0
0	0
0	1
2	4
2	4
0	0
2	2
0	0
0	0
0	4
2	2
0	0
2	2
2	4
0	0
2	2
2	4
2	2
0	0
0	4
2	4
4	4
0	0
0	4
0	0
0	4
2	3
4	0
0	0
0	1
0	2
2	2
2	2
0	4
2	4
2	2
2	1
2	1
0	0
2	0
2	4
0	4
2	4
2	2
0	0
2	2
2	3
2	2
2	4
0	3
2	4
0	0
0	0
0	1
2	2
2	2
0	0
0	0
2	4
0	0
2	2
0	2
0	0
2	1
2	0
2	0
4	3
0	0
0	4
2	0
2	2
4	4
0	3
4	1
2	2
2	1
0	1
2	1
2	2
2	2
2	0
2	0
2	2
0	4
2	0
2	0
0	0
2	2
0	0
2	3
0	0
0	4
2	0
2	0
0	4
2	4
0	0
0	3
2	1
2	4
0	4
2	0
0	4
2	2
2	0
0	0
2	4
2	2
2	0
4	4
0	0
2	2
0	0
2	2
0	0
0	4
2	2
0	0
0	0
0	0
2	2
2	4
0	2
2	2
0	4
0	0
0	0
2	0
2	2
2	4
0	0
0	0
0	4
2	4
2	2
4	4
2	4
2	0
0	0
0	0
2	3
2	0
2	2
0	3
0	0
2	2
0	4
0	3
0	4
2	1
2	4
2	2
0	4
0	0
4	0
2	1
0	0
0	0
2	0
0	0
0	4
0	3
0	0
2	3
0	2
4	4
2	4
0	4
2	2
2	4
0	0
0	0
0	0
0	0
2	4
0	4
2	0
4	1
2	2
2	1
2	2
0	0
2	2
4	4
2	2
0	4
2	2
2	2
2	2
4	0
4	3
2	2
2	0
2	2
4	0
0	0
2	2
0	0
2	3
0	4
4	4
0	2
2	4
2	4
2	0
0	4
2	2
0	0
0	0
0	4
2	2
0	0
0	0
0	0
0	0
2	2
0	4
4	4
2	2
2	2
0	4
0	4
2	1
2	1
2	2
0	1
2	2
2	2
2	4
0	0
2	0
0	4
2	1
2	2
2	2
0	0
2	0
3	0
4	2
4	4
2	2
2	1
2	2
2	2
2	3
2	4
2	2
2	0
2	2
0	1
2	2
4	4
2	2
2	4
0	0
0	4
2	2
0	4
0	4
2	2
2	3
2	2
2	3
0	3
0	4
0	0
2	4
2	4
3	3
0	0
2	2
2	2
0	1
0	0
2	2
0	0
2	0
0	0
0	0
0	0
0	0
4	0
4	4
2	2
4	4
2	4
2	2
2	2
2	2
4	0
0	2
0	0
2	2
2	2
2	4
0	0
2	2
0	0
0	4
0	0
4	4
0	0
0	4
2	2
2	4
2	0
2	1
2	2
0	4
2	4
4	4
0	0
0	4
0	4
2	4
4	0
2	3
0	0
4	2
0	0
2	2
4	4
2	0
0	4
0	3
0	0
2	2
2	4
0	0
0	0
2	0
0	0
0	0
3	4
2	2
2	1
0	3
0	4
3	0
0	4
0	4
4	4
4	2
0	0
0	3
2	4
0	4
0	3
2	2
2	2
2	2
2	4
2	0
0	0
4	4
2	2
4	0
2	4
0	0
2	4
0	1
0	0
4	4
0	0
2	2
0	0
0	0
0	0
3	1
0	0
0	0
0	4
0	0
2	0
2	2
0	4
2	4
2	2
0	4
2	2
0	0
4	1
0	0
0	0
4	4
2	0
2	2
4	4
2	4
0	0
2	2
2	2
0	3
0	0
2	2
2	4
0	0
0	0
2	4
2	2
2	4
2	4
2	4
2	2
2	4
2	2
0	0
2	2
2	2
0	0
0	4
2	2
2	2
0	4
2	2
2	2
2	2
2	4
0	0
0	0
0	0
2	2
4	4
0	0
0	4
0	4
2	4
0	0
2	1
2	0
0	3
0	2
2	0
0	4
2	2
2	2
2	2
2	2
0	0
2	4
2	2
0	0
2	0
0	3
2	2
0	0
2	4
0	3
0	1
2	1
2	2
2	1
0	4
2	0
0	4
4	3
2	2
2	2
2	4
0	0
2	2
2	2
2	2
0	1
2	2
2	2
2	2
2	4
0	0
2	2
0	0
2	4
2	0
2	4
2	2
4	4
2	4
0	0
2	2
2	1
0	0
2	1
0	1
0	4
2	2
2	2
0	2
2	2
2	4
0	4
2	2
0	1
0	0
2	2
0	0
0	0
0	4
2	2
0	0
4	4
2	2
2	2
2	2
0	0
0	3
0	0
2	2
4	0
0	3
4	4
2	2
2	4
2	2
2	0
0	0
0	4
0	3
2	2
0	4
2	0
2	2
0	0
0	0
4	2
2	2
4	4
2	0
2	4
2	2
0	4
2	2
0	3
2	0
2	2
0	2
2	4
2	4
2	4
2	2
0	0
0	0
0	4
2	2
0	0
2	0
2	2
0	0
0	4
0	2
0	0
0	3
0	0
0	0
2	0
2	1
2	2
2	2
2	2
2	2
2	4
0	3
0	0
2	2
2	2
0	0
2	4
0	0
2	2
2	0
4	1
2	0
0	4
2	2
2	2
0	4
2	2
2	2
0	3
2	2
2	2
0	1
2	4
2	2
2	3
0	0
2	0
2	0
0	4
4	1
0	4
0	0
2	2
0	4
2	2
0	0
2	2
0	0
0	1
4	4
0	0
2	4
2	3
0	0
2	4
0	4
0	0
2	2
2	0
0	4
2	0
2	2
0	0
0	0
0	0
0	0
2	1
0	1
0	0
4	4
4	4
4	4
2	4
2	3
2	4
2	3
2	2
2	2
2	3
2	2
2	2
0	0
0	0
2	2
0	0
4	0
0	2
0	0
0	1
0	0
2	2
2	2
0	0
2	2
0	0
0	0
3	3
0	0
4	4
0	0
4	4
2	4
2	2
2	1
0	4
2	3
2	0
2	4
2	1
4	4
2	2
2	2
4	4
2	2
4	0
2	3
0	1
2	4
2	4
2	2
0	0
2	1
0	0
0	0
0	0
0	3
2	2
2	0
2	0
2	2
0	0
2	2
4	2
0	4
2	4
0	4
0	0
0	0
2	3
2	2
2	2
4	2
2	2
0	0
2	2
4	0
0	4
2	2
2	2
2	2
2	3
2	2
4	4
0	4
0	4
2	2
2	4
2	4
2	0
0	4
0	4
2	2
0	2
0	2
4	4
2	4
2	3
2	4
2	2
2	0
2	2
2	2
0	1
0	2
0	4
0	4
0	0
2	2
2	2
0	2
4	4
2	2
2	4
0	4
2	1
2	2
2	2
2	2
2	2
2	1
2	2
2	2
0	0
2	1
0	0
2	4
0	2
2	4
4	4
2	0
0	4
2	0
2	2
2	4
2	2
0	0
0	4
0	0
2	3
2	2
0	0
2	2
4	0
4	0
0	3
0	4
2	0
0	2
2	4
2	0
0	0
0	4
2	0
0	4
0	4
2	2
2	0
2	0
2	2
0	0
0	0
2	2
2	2
2	2
0	0
2	2
0	4
2	1
4	4
2	2
0	0
0	1
0	0
0	0
0	4
2	4
0	1
0	0
2	4
0	4
0	0
0	0
4	4
0	4
2	2
4	4
2	4
2	2
2	4
2	2
0	0
2	0
0	0
0	4
2	3
0	4
2	4
2	1
2	0
2	4
2	4
4	0
4	0
2	1
2	2
2	2
2	2
0	0
0	0
0	0
2	4
0	0
2	2
0	3
4	1
0	0
2	2
0	0
4	0
0	1
2	2
0	4
2	2
0	0
2	2
2	2
0	4
2	2
2	4
2	2
0	0
2	0
2	2
0	1
2	0
2	2
0	4
2	1
0	3
0	4
0	4
2	2
2	4
3	3
0	0
0	0
0	1
0	0
2	2
2	4
2	2
4	4
2	2
2	4
0	4
0	0
2	1
2	4
2	4
0	0
0	1
0	0
0	2
4	3
4	4
2	4
0	1
0	0
0	4
2	1
0	1
0	0
2	3
2	0
2	2
4	0
2	0
0	0
4	4
2	0
0	4
0	0
0	0
2	4
2	4
2	2
0	0
0	0
2	2
0	0
0	4
2	3
2	4
2	2
2	0
0	0
2	4
2	2
4	1
0	0
0	0
0	0
2	2
0	2
0	0
0	0
2	4
4	0
0	0
2	0
0	4
2	2
2	0
2	4
0	0
2	4
0	0
2	4
0	0
2	2
2	0
2	2
2	0
4	4
2	2
2	4
0	0
2	2
2	2
2	2
0	2
0	4
2	4
2	0
2	2
2	4
2	2
2	2
2	2
4	4
4	4
4	3
2	2
0	2
2	2
0	3
0	0
2	2
0	0
2	2
2	2
4	1
4	3
2	2
4	4
0	4
0	0
0	2
0	1
2	2
2	2
0	4
0	1
2	2
0	2
2	2
0	1
0	0
0	4
2	3
4	0
4	4
2	2
4	0
2	2
4	4
0	1
2	2
0	4
2	3
2	4
2	2
0	4
2	2
2	2
2	0
2	2
2	2
2	2
2	3
2	2
0	0
2	2
2	4
0	4
2	1
4	4
2	2
2	4
2	4
0	0
2	2
2	2
0	0
0	3
0	2
0	0
0	4
0	4
0	2
2	0
2	2
2	4
0	3
2	2
0	3
0	2
2	0
2	2
2	2
0	3
0	1
0	2
0	0
0	0
2	2
2	2
0	0
2	2
4	1
2	4
0	1
2	2
2	2
0	0
2	0
0	1
2	4
0	0
2	2
0	0
2	3
2	0
0	0
0	0
2	2
2	2
2	1
2	2
2	2
0	4
0	4
0	0
2	0
2	3
0	3
2	0
0	0
0	4
4	2
2	1
2	2
2	4
2	0
0	0
2	2
2	2
0	2
0	0
2	3
0	3
0	0
2	1
0	0
2	0
2	2
0	0
0	0
2	2
0	4
0	4
0	0
0	0
2	2
0	2
2	0
2	2
0	4
2	4
0	2
0	0
2	2
2	2
0	0
0	4
0	4
0	4
2	2
0	0
4	4
2	3
0	0
2	2
2	4
0	4
4	1
4	0
2	0
2	2
2	2
0	3
2	2
2	2
0	2
2	2
4	1
2	2
0	4
2	4
2	2
0	0
4	0
0	3
0	0
2	2
0	0
2	0
2	4
2	2
0	0
0	0
2	2
0	0
2	4
2	2
0	0
2	2
0	0
2	0
2	4
4	4
0	4
0	4
0	0
0	0
0	4
2	2
4	3
2	2
2	3
2	0
2	2
0	4
0	4
2	2
4	4
2	2
4	4
0	0
0	1
4	4
2	2
2	4
0	0
0	3
0	3
2	3
2	3
0	0
0	4
2	1
0	0
4	0
2	2
0	4
0	0
2	4
2	2
2	4
2	1
0	0
2	2
2	2
2	2
2	0
2	2
2	4
0	4
2	2
2	4
0	0
0	0
0	4
2	0
0	4
4	4
2	2
0	0
4	4
0	0
0	0
2	4
2	4
2	4
0	4
2	2
2	4
0	0
2	4
0	0
2	4
2	2
2	0
2	2
0	4
0	0
4	4
0	0
2	4
0	0
0	0
2	2
0	4
2	4
0	0
2	2
0	0
0	1
0	4
0	0
2	1
0	3
0	4
3	3
2	1
2	2
2	2
4	4
2	4
2	2
4	4
2	2
0	4
0	4
3	3
2	4
2	3
0	0
4	4
2	4
0	0
2	2
2	0
2	2
2	2
0	4
2	2
0	0
0	3
2	2
2	4
2	4
2	2
0	0
2	0
0	3
0	0
4	4
3	4
2	4
2	2
0	0
0	0
2	0
0	4
0	2
0	0
0	0
2	4
0	4
2	4
2	2
2	2
0	0
0	0
4	0
2	2
0	0
0	0
0	4
2	2
4	4
0	4
0	0
0	4
2	4
0	1
4	4
2	2
2	4
4	4
0	2
0	0
2	0
4	0
2	1
2	2
2	2
0	4
0	3
2	2
2	0
2	0
2	2
2	2
0	4
0	4
0	4
0	2
2	2
2	2
0	0
2	2
2	2
2	2
0	0
2	2
0	0
0	0
0	0
4	4
2	2
2	2
2	0
2	2
2	2
2	2
0	0
0	0
2	4
2	0
2	4
0	4
0	0
2	2
2	2
0	0
0	4
2	4
2	2
2	2
0	0
4	4
2	4
3	3
2	2
0	1
2	2
2	2
2	1
2	2
2	4
2	1
0	4
0	4
2	4
2	4
2	2
4	0
0	0
3	3
3	3
2	0
2	4
2	3
0	0
2	2
0	4
2	3
2	4
2	1
0	4
0	0
2	2
2	2
2	4
2	2
2	4
0	0
0	4
0	0
0	1
2	0
2	4
0	0
0	0
2	1
4	4
2	2
2	2
2	2
2	0
0	0
0	0
2	0
0	0
0	0
0	0
0	1
2	1
2	3
2	4
2	2
0	4
2	2
2	2
0	0
0	0
2	1
2	0
2	3
4	4
0	0
4	2
4	4
2	2
2	0
2	0
0	0
2	0
2	0
0	4
2	2
0	0
2	1
2	4
2	1
3	3
0	1
0	0
2	2
2	2
0	1
2	2
2	4
2	2
4	4
2	0
2	2
2	2
0	0
0	4
2	2
2	2
2	2
0	2
2	2
0	3
2	0
2	4
2	0
0	2
4	3
2	2
0	4
0	4
2	4
2	3
0	0
0	0
0	0
2	2
0	3
4	4
0	0
0	1
2	2
2	4
0	3
0	0
2	2
0	0
0	4
0	4
4	3
0	4
0	0
2	2
0	0
2	0
0	0
2	2
0	4
0	0
4	4
0	1
2	2
0	4
0	4
2	2
2	4
0	4
4	4
0	0
0	0
2	2
2	2
2	2
2	2
4	4
2	2
2	0
2	2
2	4
0	2
0	0
2	3
2	2
2	1
2	0
0	0
0	0
0	1
0	0
2	1
2	1
0	0
2	4
2	3
2	4
0	0
2	2
0	4
2	1
0	0
0	4
0	0
0	0
2	1
2	2
0	0
2	2
2	2
0	3
0	4
2	4
2	2
2	2
2	3
0	4
0	0
0	0
0	1
0	4
0	0
2	4
4	0
2	2
2	4
0	3
0	4
2	2
4	0
0	0
2	2
4	4
0	0
2	2
4	1
0	4
0	0
0	2
4	4
0	0
0	0
0	4
2	1
0	0
0	2
0	0
2	4
2	2
2	2
2	0
0	0
2	4
2	2
0	4
0	0
2	1
0	0
0	0
2	3
0	4
0	4
2	2
2	2
0	4
0	4
0	0
2	1
0	0
2	2
0	4
2	4
2	4
0	0
2	1
0	0
2	0
2	4
0	0
4	2
0	0
4	2
2	2
3	1
0	4
0	0
0	0
0	4
2	0
2	4
0	0
3	3
2	0
0	4
2	2
0	3
2	2
2	4
0	0
2	2
2	2
2	2
0	4
0	0
0	0
2	2
2	2
2	2
0	0
0	0
2	0
2	2
2	0
0	0
2	1
2	2
2	4
0	0
2	2
2	4
2	0
2	2
2	2
0	4
0	0
0	2
0	4
2	0
2	2
0	0
0	0
2	2
0	0
2	2
2	2
0	0
2	1
2	4
2	2
0	0
2	4
2	4
0	0
0	3
2	2
2	2
2	4
2	2
0	0
2	2
2	2
0	3
2	4
0	0
2	0
2	4
2	2
0	0
2	0
2	2
0	3
0	1
2	4
0	4
0	1
2	4
2	0
2	0
0	4
0	0
2	4
2	0
2	2
2	0
0	0
3	1
0	0
0	3
2	2
2	2
2	2
0	3
2	0
2	2
0	0
4	0
2	2
2	1
2	2
2	0
2	2
0	0
0	1
0	0
2	2
0	0
2	2
2	2
0	3
0	0
0	4
0	4
2	2
4	3
2	4
2	3
2	4
2	0
0	0
2	2
0	0
2	0
4	0
2	2
2	2
2	4
2	3
2	0
0	3
0	0
2	2
0	0
0	0
0	4
4	4
0	4
0	0
2	1
2	0
0	0
0	0
0	0
2	4
2	4
0	3
2	2
2	0
2	4
2	2
0	0
2	2
0	0
4	3
0	4
2	2
2	4
0	2
2	0
2	2
2	2
0	4
2	2
2	2
2	2
2	3
2	2
2	2
0	0
2	4
0	0
0	4
2	4
0	0
0	0
2	0
2	3
2	1
2	2
0	0
4	4
2	2
2	2
3	1
2	1
0	3
2	1
0	0
2	2
0	4
2	2
2	2
4	4
0	4
0	0
0	0
2	1
0	4
2	2
2	2
2	1
0	0
2	3
2	0
2	2
4	3
0	0
2	4
2	0
0	1
2	2
0	0
0	4
2	2
0	1
0	4
0	0
0	3
0	0
0	0
2	0
0	2
0	0
0	4
0	4
0	0
0	4
2	0
0	0
2	4
0	0
2	1
0	0
0	4
0	0
2	0
0	0
2	4
2	0
2	2
0	4
0	2
0	4
0	0
2	1
0	0
0	1
2	2
0	0
2	2
2	1
2	2
0	0
0	4
2	1
4	4
0	0
0	1
2	4
2	2
4	3
2	2
0	0
0	0
2	2
0	0
2	0
0	4
0	3
0	0
2	2
2	4
2	4
2	2
2	4
0	0
0	0
2	2
0	4
0	0
0	0
0	4
2	2
0	4
0	1
2	4
0	0
0	4
2	2
0	0
2	3
2	0
2	2
0	4
2	3
0	4
2	2
2	1
0	0
0	3
2	2
0	0
2	2
2	4
0	4
2	2
2	3
2	2
2	4
2	2
2	0
2	2
2	2
0	0
2	2
2	2
2	2
0	0
2	2
0	0
2	2
0	1
0	4
2	2
2	2
0	4
2	2
0	4
2	2
0	0
0	0
0	4
0	0
2	3
0	0
0	1
2	1
2	4
0	1
2	2
2	2
0	1
0	0
4	3
0	4
0	0
0	3
2	0
2	2
0	0
2	0
2	2
2	2
0	1
0	4
2	4
0	0
2	2
0	0
2	1
2	2
4	0
2	4
2	0
0	4
0	0
0	0
0	0
0	4
0	0
0	0
0	3
0	4
2	2
2	2
0	0
2	3
2	2
0	4
0	3
2	2
2	2
2	2
2	0
0	0
0	0
2	0
2	2
2	4
2	2
4	1
0	3
2	0
0	1
0	0
0	0
2	0
2	4
4	4
2	4
2	0
2	4
2	2
0	0
0	0
0	0
0	1
2	2
2	2
0	0
0	0
2	4
2	4
0	0
3	3
0	4
2	2
4	4
2	2
4	4
0	0
2	2
2	4
0	0
2	0
2	4
0	0
4	0
2	0
0	0
4	4
2	0
2	0
2	2
4	4
0	3
0	2
4	4
4	4
2	2
2	1
0	0
2	2
2	4
0	0
2	4
0	0
0	0
2	2
2	4
2	4
0	0
0	0
2	1
2	2
0	0
0	0
0	0
2	1
0	0
2	1
0	4
2	2
2	1
2	4
4	4
0	2
2	2
2	1
4	4
4	4
2	2
2	2
4	3
0	0
0	4
4	4
2	2
2	1
2	2
0	4
2	2
2	4
2	2
2	2
2	4
2	2
2	2
4	4
2	2
0	0
2	4
0	4
4	4
0	3
0	0
0	4
2	4
0	0
0	0
0	0
0	0
2	2
0	0
0	0
2	2
2	4
2	1
0	1
0	4
0	0
2	2
0	4
2	2
2	2
0	4
2	2
2	2
2	2
2	2
2	2
2	0
2	4
0	0
2	2
2	2
2	4
2	0
0	2
0	0
2	4
2	2
0	0
0	4
2	2
2	2
0	0
2	0
2	2
2	2
4	3
0	0
0	2
2	4
2	2
2	4
4	4
2	2
2	2
0	4
2	0
2	2
0	1
2	4
0	4
2	2
2	2
4	2
2	0
0	0
0	4
0	0
2	2
2	1
0	4
0	0
3	3
2	3
0	0
0	4
0	0
2	2
2	2
0	4
0	2
2	2
2	4
2	2
2	2
2	1
0	4
2	0
0	0
2	2
2	1
0	0
2	2
0	0
2	0
2	1
4	4
2	2
0	1
2	2
0	1
0	4
0	0
2	2
0	0
2	1
2	2
2	1
2	2
2	2
0	2
0	0
2	2
2	2
0	0
0	0
2	1
0	3
0	0
2	4
0	4
2	0
0	4
0	0
2	0
0	2
2	2
2	4
0	4
2	2
4	4
0	0
0	0
0	0
2	2
0	0
2	2
0	0
0	0
0	0
0	4
4	2
2	2
4	1
0	0
0	4
2	2
2	2
2	1
2	4
2	2
0	2
2	2
2	4
0	0
2	2
2	0
2	4
2	0
4	0
2	2
0	4
2	2
2	2
0	0
4	1
2	2
0	4
2	2
2	2
4	0
0	0
0	0
0	4
0	0
0	0
0	0
2	0
0	4
2	2
2	2
2	2
0	0
0	4
2	4
2	2
2	0
0	0
2	0
4	4
0	0
2	2
2	2
0	4
4	1
2	2
2	2
0	4
2	0
0	0
0	0
4	4
0	3
4	0
2	1
0	4
2	4
2	2
0	0
0	0
0	1
0	4
0	0
2	3
2	2
2	1
0	4
0	4
2	4
2	2
0	4
0	4
0	0
0	0
2	2
0	4
2	2
2	1
2	2
0	2
2	2
0	4
0	0
2	2
2	2
2	2
2	2
3	0
2	2
0	2
0	4
0	0
2	2
0	2
2	3
2	4
2	2
4	4
2	2
2	0
2	2
2	2
2	4
0	4
0	4
0	0
0	3
2	1
0	2
0	0
2	2
2	1
2	1
0	0
2	3
2	0
2	2
2	2
2	2
2	3
2	2
0	1
2	4
0	0
0	4
2	3
2	2
4	0
0	0
4	3
0	3
2	2
0	0
2	4
2	2
2	4
4	4
4	3
2	2
0	0
2	4
2	4
0	1
0	2
2	2
2	2
0	0
0	2
0	0
0	0
2	4
0	2
2	2
2	2
2	2
2	2
0	4
2	2
0	0
4	0
0	0
2	2
2	2
0	0
2	4
0	4
2	3
2	2
0	4
2	1
4	4
0	0
2	4
2	0
0	0
2	2
4	1
0	0
2	4
2	0
2	2
0	3
4	0
2	2
2	4
3	4
2	2
0	4
3	3
2	2
0	0
4	0
4	3
0	1
0	0
0	4
2	3
0	4
0	0
2	0
2	4
2	0
2	0
0	4
2	2
0	3
2	2
2	2
0	4
2	2
2	2
2	2
2	2
2	1
2	2
0	4
0	0
0	1
0	0
2	0
4	0
0	4
2	4
2	2
2	2
0	0
2	4
2	2
2	2
2	2
2	2
3	3
2	3
2	3
2	2
2	2
2	4
2	2
2	2
2	2
2	2
2	2
0	3
0	0
2	4
3	2
2	2
0	0
0	4
0	0
2	1
2	0
2	3
2	2
2	2
2	2
0	0
0	1
0	0
2	2
0	4
4	4
2	0
2	4
0	0
2	2
2	2
2	2
2	2
2	2
2	4
2	2
2	2
0	0
0	0
2	2
2	0
2	2
0	0
2	2
0	4
0	4
4	3
2	0
2	0
2	0
0	4
4	1
2	2
2	3
4	4
2	0
0	4
0	0
2	4
2	0
2	2
2	2
0	0
2	0
2	2
2	2
2	4
0	0
2	2
0	3
4	0
0	0
2	2
2	1
4	4
0	4
2	2
2	2
2	2
2	1
0	4
2	0
2	4
0	4
0	0
0	0
2	3
2	2
2	3
0	0
2	4
0	0
2	2
2	4
0	4
2	2
2	4
0	2
0	0
2	2
4	2
0	4
2	2
2	2
2	2
0	4
2	4
0	0
2	2
2	1
0	0
0	3
2	2
2	4
0	0
2	2
2	2
4	4
0	3
0	0
